date,open,high,low,close,volume
2022-10-31,5.2500000000,5.3200000000,5.2400000000,5.3100000000,20544270
2022-11-01,5.3100000000,5.3500000000,5.2900000000,5.3500000000,18153489
2022-11-02,5.3500000000,5.3800000000,5.3400000000,5.3700000000,9229803
2022-11-03,5.3600000000,5.3700000000,5.3300000000,5.3400000000,7438163
2022-11-04,5.3300000000,5.4400000000,5.3300000000,5.4300000000,16152394
2022-11-07,5.4200000000,5.4300000000,5.3700000000,5.4000000000,16827895
2022-11-08,5.4000000000,5.4100000000,5.3700000000,5.4000000000,9992289
2022-11-09,5.4200000000,5.4900000000,5.4200000000,5.4700000000,19093973
2022-11-10,5.4500000000,5.4900000000,5.4300000000,5.4700000000,14642934
2022-11-11,5.5100000000,5.5800000000,5.5000000000,5.5700000000,43474453
2022-11-14,5.5900000000,5.6200000000,5.5500000000,5.5600000000,28697696
2022-11-15,5.5400000000,5.6400000000,5.5400000000,5.6300000000,28638730
2022-11-16,5.6500000000,5.6700000000,5.6400000000,5.6400000000,23425369
2022-11-17,5.6500000000,5.6700000000,5.6300000000,5.6700000000,25835364
2022-11-18,5.6700000000,5.6800000000,5.6300000000,5.6400000000,16928030
2022-11-21,5.6300000000,5.7000000000,5.5800000000,5.6800000000,20143834
2022-11-22,5.6800000000,5.8000000000,5.6600000000,5.7500000000,34726547
2022-11-23,5.7400000000,5.7800000000,5.7000000000,5.7200000000,19273463
2022-11-24,5.7500000000,5.7700000000,5.7100000000,5.7200000000,16604496
2022-11-25,5.7100000000,5.7900000000,5.7000000000,5.7700000000,22610420
2022-11-28,5.7400000000,5.7500000000,5.6900000000,5.7500000000,18149855
2022-11-29,5.7500000000,5.8700000000,5.7300000000,5.8400000000,37956711
2022-11-30,5.8400000000,5.9100000000,5.8000000000,5.9100000000,58959023
2022-12-01,5.9200000000,5.9400000000,5.8200000000,5.8300000000,40463093
2022-12-02,5.8400000000,5.8400000000,5.7800000000,5.7900000000,19403351
2022-12-05,5.8100000000,5.8800000000,5.8000000000,5.8800000000,18887844
2022-12-06,5.8900000000,5.9200000000,5.8500000000,5.8900000000,15781519
2022-12-07,5.8700000000,5.9200000000,5.8600000000,5.8600000000,16726988
2022-12-08,5.8700000000,6.0500000000,5.8600000000,5.9700000000,44866809
2022-12-09,5.9900000000,6.0800000000,5.9600000000,6.0100000000,48178748
